tar_file,sample_id,slice_idx,feature_dice,feature_distance
Water-bilayer-K-6_val_2.tar,41,6,0.2620474081792133,0.7379525918207868
Water-bilayer-K-6_val_2.tar,41,7,0.0,1.0
Water-bilayer-K-6_val_2.tar,41,8,0.0,1.0
Water-bilayer-K-6_val_2.tar,41,9,0.3840719332048811,0.6159280667951189
Water-bilayer-K-6_val_2.tar,41,10,0.5356421356421355,0.4643578643578645
Water-bilayer-K-6_val_2.tar,41,11,0.7966620305980527,0.20333796940194726
Water-bilayer-K-6_val_2.tar,41,12,0.6988183566913987,0.3011816433086013
Water-bilayer-K-6_val_2.tar,41,13,0.5803138373751783,0.4196861626248217
Water-bilayer-K-6_val_2.tar,41,14,0.6413574920908829,0.3586425079091171
Water-bilayer-K-6_val_2.tar,42,0,0.8768368429025903,0.12316315709740966
Water-bilayer-K-6_val_2.tar,42,1,0.8552233792408463,0.14477662075915365
Water-bilayer-K-6_val_2.tar,42,2,0.9226493747105139,0.07735062528948611
Water-bilayer-K-6_val_2.tar,42,3,0.8550387596899224,0.14496124031007762
Water-bilayer-K-6_val_2.tar,42,4,0.7155388471177944,0.28446115288220564
Water-bilayer-K-6_val_2.tar,42,5,0.8352901710835288,0.16470982891647123
Water-bilayer-K-6_val_2.tar,42,6,0.7889502762430938,0.21104972375690623
Water-bilayer-K-6_val_2.tar,42,7,0.9040404040404039,0.09595959595959613
Water-bilayer-K-6_val_2.tar,42,8,0.8907462686567162,0.10925373134328376
Water-bilayer-K-6_val_2.tar,42,9,0.9095258196144645,0.09047418038553545
Water-bilayer-K-6_val_2.tar,42,10,0.9454926624737945,0.05450733752620551
Water-bilayer-K-6_val_2.tar,42,11,0.9291703442188877,0.07082965578111233
Water-bilayer-K-6_val_2.tar,42,12,0.5903749300503637,0.4096250699496363
Water-bilayer-K-6_val_2.tar,42,13,0.5766945555959742,0.42330544440402584
Water-bilayer-K-6_val_2.tar,42,14,0.7116171954964176,0.28838280450358245
Water-bilayer-K-6_val_2.tar,43,0,0.0880671451161659,0.9119328548838341
