tar_file,sample_id,slice_idx,gssim
Water-bilayer-K-1_val_1.tar,18,12,0.019245350218628512
Water-bilayer-K-1_val_1.tar,18,13,0.02805662326884492
Water-bilayer-K-1_val_1.tar,18,14,0.03145343534361596
Water-bilayer-K-1_val_1.tar,19,0,0.25025604852629957
Water-bilayer-K-1_val_1.tar,19,1,0.2545320653424205
Water-bilayer-K-1_val_1.tar,19,2,0.27268505551473465
Water-bilayer-K-1_val_1.tar,19,3,0.27886913302329613
Water-bilayer-K-1_val_1.tar,19,4,0.4251899872739386
Water-bilayer-K-1_val_1.tar,19,5,0.3926477104355149
Water-bilayer-K-1_val_1.tar,19,6,0.44827724795775836
Water-bilayer-K-1_val_1.tar,19,7,0.4812526447729657
Water-bilayer-K-1_val_1.tar,19,8,0.42625655392651285
Water-bilayer-K-1_val_1.tar,19,9,0.29246743439698464
Water-bilayer-K-1_val_1.tar,19,10,0.15937740906119519
Water-bilayer-K-1_val_1.tar,19,11,0.1864967968778907
Water-bilayer-K-1_val_1.tar,19,12,0.17885326959593337
Water-bilayer-K-1_val_1.tar,19,13,0.23544279594696788
Water-bilayer-K-1_val_1.tar,19,14,0.23179363282709525
Water-bilayer-K-1_val_1.tar,20,0,0.031221410577246936
Water-bilayer-K-1_val_1.tar,20,1,0.0312115832970658
Water-bilayer-K-1_val_1.tar,20,2,0.03491567667038933
Water-bilayer-K-1_val_1.tar,20,3,0.03237155814601651
Water-bilayer-K-1_val_1.tar,20,4,0.030008331727685272
Water-bilayer-K-1_val_1.tar,20,5,0.08161351624252651
Water-bilayer-K-1_val_1.tar,20,6,0.3821152900067779
Water-bilayer-K-1_val_1.tar,20,7,0.5537070316403803
Water-bilayer-K-1_val_1.tar,20,8,0.5253725048033703
Water-bilayer-K-1_val_1.tar,20,9,0.2873467550337979
Water-bilayer-K-1_val_1.tar,20,10,0.060621870133965555
Water-bilayer-K-1_val_1.tar,20,11,0.028295083821018002
Water-bilayer-K-1_val_1.tar,20,12,0.0298434432699562
Water-bilayer-K-1_val_1.tar,20,13,0.033331754394413764
Water-bilayer-K-1_val_1.tar,20,14,0.04204358775762965
Water-bilayer-K-1_val_1.tar,21,0,0.13627403738301935
Water-bilayer-K-1_val_1.tar,21,1,0.18142956022702922
Water-bilayer-K-1_val_1.tar,21,2,0.37756176244578576
Water-bilayer-K-1_val_1.tar,21,3,0.5518132254249415
Water-bilayer-K-1_val_1.tar,21,4,0.18726489909278604
Water-bilayer-K-1_val_1.tar,21,5,0.007211561316762629
Water-bilayer-K-1_val_1.tar,21,6,0.008412325425230445
Water-bilayer-K-1_val_1.tar,21,7,0.010375124080240713
Water-bilayer-K-1_val_1.tar,21,8,0.045322547803808906
Water-bilayer-K-1_val_1.tar,21,9,0.09717411177228126
Water-bilayer-K-1_val_1.tar,21,10,0.10439434101812323
Water-bilayer-K-1_val_1.tar,21,11,0.11663021688424419
Water-bilayer-K-1_val_1.tar,21,12,0.1547089105722807
Water-bilayer-K-1_val_1.tar,21,13,0.10397835378101852
Water-bilayer-K-1_val_1.tar,21,14,0.08497273240212487
Water-bilayer-K-1_val_1.tar,22,0,0.02886400024709638
Water-bilayer-K-1_val_1.tar,22,1,0.031115513798405624
Water-bilayer-K-1_val_1.tar,22,2,0.03452713529796239
Water-bilayer-K-1_val_1.tar,22,3,0.0313100052713495
Water-bilayer-K-1_val_1.tar,22,4,0.34425264807513406
Water-bilayer-K-1_val_1.tar,22,5,0.4440311449202723
Water-bilayer-K-1_val_1.tar,22,6,0.13369994727692147
Water-bilayer-K-1_val_1.tar,22,7,0.011801211014593154
Water-bilayer-K-1_val_1.tar,22,8,0.010005725429298805
Water-bilayer-K-1_val_1.tar,22,9,0.010032878416945848
Water-bilayer-K-1_val_1.tar,22,10,0.010705058916158087
Water-bilayer-K-1_val_1.tar,22,11,0.0140389699513027
Water-bilayer-K-1_val_1.tar,22,12,0.018283563258339026
Water-bilayer-K-1_val_1.tar,22,13,0.019132853024353573
Water-bilayer-K-1_val_1.tar,22,14,0.031552046575709106
Water-bilayer-K-1_val_1.tar,23,0,0.19333955207987252
Water-bilayer-K-1_val_1.tar,23,1,0.35605451860550436
Water-bilayer-K-1_val_1.tar,23,2,0.3617325419208927
Water-bilayer-K-1_val_1.tar,23,3,0.4713277900613818
Water-bilayer-K-1_val_1.tar,23,4,0.04484725226296185
Water-bilayer-K-1_val_1.tar,23,5,0.012466721739768965
Water-bilayer-K-1_val_1.tar,23,6,0.009788994308429121
Water-bilayer-K-1_val_1.tar,23,7,0.008656123775674436
Water-bilayer-K-1_val_1.tar,23,8,0.01836617957983313
Water-bilayer-K-1_val_1.tar,23,9,0.03702902730167669
Water-bilayer-K-1_val_1.tar,23,10,0.06893450465648526
Water-bilayer-K-1_val_1.tar,23,11,0.13959025552999219
Water-bilayer-K-1_val_1.tar,23,12,0.184496043142972
Water-bilayer-K-1_val_1.tar,23,13,0.21250762504682696
Water-bilayer-K-1_val_1.tar,23,14,0.20843443974968323
Water-bilayer-K-1_val_1.tar,24,0,0.08573136284557492
Water-bilayer-K-1_val_1.tar,24,1,0.1538790032404909
Water-bilayer-K-1_val_1.tar,24,2,0.2269727455362856
Water-bilayer-K-1_val_1.tar,24,3,0.2259688419089242
Water-bilayer-K-1_val_1.tar,24,4,0.344314832855143
Water-bilayer-K-1_val_1.tar,24,5,0.46623125587049163
Water-bilayer-K-1_val_1.tar,24,6,0.2997478811518601
Water-bilayer-K-1_val_1.tar,24,7,0.08889513764127278
Water-bilayer-K-1_val_1.tar,24,8,0.0212580692334117
Water-bilayer-K-1_val_1.tar,24,9,0.016382871745437115
